"How was airplane technology able to advance so quickly after the Wright Brothers' first flight ? Mainly interested in how aviation was able to be deployed on a large scale during WWI."" ","This is a frequent phenomenon with technology : something is considered very hard or even impossible for a long , long time , and then one day , somebody figures it out . That opens a whole FLOODGATE of discovery leading to discovery , and the technology leaps forward quickly . Eventually , those chains of discovery start to play out , and the rate of advancement slows down , and may even come to a halt , perhaps starting up again years later when somebody discovers something new . We saw the same phenomenon with the building of the first transistor in 1947 . The * theory * of transistors had actually been known since the early 20th century , but nobody had figured out a way to actually build one . That led to an explosion in electronics , and when somebody figured out how to put a load of teensy transistors on a silicon wafer, the explosion exploded .","The importance of the Wright Brothers and other early inventors was to prove it could be done . Once proven , the rest is just a process of incremental improvements that add up over time . Keep in mind that while there are lots of nifty stuff in modern aircraft , the biggest thing in my opinion that makes modern aircraft possible are the engines and the only major change from 100 years ago has been from piston to turbine . Every other engine development is just making what we had the year before , a bit better , a bit lighter , a bit more powerful , a bit more reliable."
"Why does mixing lights result in a different color than mixing paint ? for example green + red = yellow in lights , and brown in paint . why does this happened.","Sources of light use what's called an additive color model . Each source adds new wavelengths , thus the collective light is the sum of all sources . Thus when you have a red and green light , your eyes are receiving both red and green bands of light . Paints and pigments use a subtractive color model . In this case , the material absorbs some wavelengths and reflects others . No new wavelengths are added . Thus mixing colored paints , it will absorb more colors , causing fewer wavelengths to be reflected back . If mathematically inclined, think of additive sources as a union and substractive pigments as an intersect.","The light you see is a result of what light is being reflected by an object . So if you shine green with red , you see yellow in light . But paints differ in the color they absorb . So mixing red ( which absorbs blue and yellow lights but reflects red ) and green ( which absorbs red and reflects blue and yellow ) together gives you something that absorbs red , blue , and yellow . If they were perfectly opposed , you'd make black . Instead , you usually end up with brown because the two paints aren't diametrically opposed."
"Why is n't there thunder and lightning during a snowstorm ? Because are n't rain and snow basically the same thing , except one is colder ?","A thunderstorm is formed in part by the strong upward motion of warm moist air . In conditions suitable for snow , it 's less common to have a situation where you 'll have upward moving warm moist air ( it 's usually not warm ! ) , so it tends to take certain infrequent circumstances to generate , like moving over a large and warm lake , to generate the needed air movement.","We occasionally get thundersnow . But my guess is that cold weather fronts do n't have the same kind of turbulent air currents that create static charges that hot air currents do."
"How are movies edited to be in 3D when they are't originally filmed in 3D ? Like Lord of the Rings","They have a bunch of people cut out the foreground from the background ( rotoscoping ) and place it in depth using software . They move stuff around and paint out the seams . Then they re - render the movie from two virtual cameras . Turns out a lot people aren't very discerning when it comes to 3d , and it 's cheaper and less hassle than using two cameras during the shoot .","For films that use a lot of green \/ blue screen ( LOTR , Avatar , Avengers ) , the CG background can be made as a 3D object . That way , the only thing that they have to make 3D in post are the actors , and they're separated already . Also , many older films that used the red and blue glasses were three frames : One that was red , one was blue , and one that was full color . One of the red \/ blue frames was offset in order to create depth to the image ."
"Steering a hot air balloon- how is it done ? Are you simply subject to the wind 's whim ?","Yes , you're subject to the wind's whim , but you have a good idea where it's coming from at different altitudes ; you get a thorough meteorological overview beforehand . You can then \"" steer \"" by changing altitude to where the wind blows the direction you want to go . Which will not be very flexible , so you do know the general direction beforehand , and can predict your flight path relatively well . Not to mention that you don't go hot - air ballooning with a lot of wind in the first place .","Winds at different altitudes are going in different directions . Let's say the winds at 500 - 700 ft are SW - NE but from 700 - 900 they are W - E. You can adjust how far North and how far East you eventually get by varying your altitude between the two currents of winds . You're not likely to find completely opposing wind currents though , so it 's not like you can navigate very sharply . All in all , you are * mostly * at the whim of the winds , but with some level of rudimentary control ."
"If our skin is constantly ridding itself of dead cells and regenerating , why and how do freckles and other ' imperfections ' remain ?","The skin that is sloughed off is mostly the top layer of your skin ( the epidermis ) . You can still have imperfections , scar tissue , pigmented cells ( freckles ) , etc under or embedded in the part that sloughs off .","The cells that are sloughing off are different to the cells which pigment the skin . The cells which pigment the skin ( melanocytes ) are in the epidermis directly attached to the dermis . They never really move and hardly ever make new ones . This is why scars don't have pigment . The skin cells people talk about falling off ( keratinocytes ) are constantly produced by other keratinocytes which are also attached to the dermis ."
"Why is it that in a dark or nearly dark room people can see objects better when they do n't look directly them ? Is it just how our eyes adjust to the darkness or something to do with the cones and rods ?","its do with both . when its dark , your pupils dilate letting more light in . however that does nt explain why you see better when you do nt look directly at an object . it turns out when you re looking directly at something , the light is nt going all around the inside of your eye , its focused on a very small point a mm or two large . its called the fovea , the yellow spot or the macula lutea ( put simply ) . this spot is where almost all of your cones ( colored vision ) cells are . most of the rest of the eye is made of rods . now colored vision is nt particularly useful in the dark , so when we want to see in the dark , we want to focus light on the rods . we do this by looking slightly to the sides so the light hits the rods instead of the fovea ."," ""Because more light sensing cells are in the edges of your retina . It actually has to do with motion detection . Any amount of movement will cause a change in light , and it spokes the little caveman in your brain , making you notice it better ."
"Can an individual 's genetic makeup make that person ""immune"" to cancer ? ""Immune"" is in quotes because it 's not an infection , obviously . Can a person be more susceptible or less susceptible to cancerous formations due to his genes ?","Yes . The scary truth is that people get cancer all the time , but usually their body is able to fight it off so early there are not ill effects . Some people 's bodies are better at this than others , and genetics plays a big role in that .","Cancer , in most cases is caused by damage to DNA . This results in uncontrolled cell division . This occurs frequently in dividing cells . However the body is able to identify those mutated cells by abnormal proteins on the cell surface , in most cases . The immune system is then able to destroy those cells and prevent further cell proliferation . Following that logic , people with immune systems that have better recognition of mutated cells would be less likely to develop symptomatic cancer ."
"Why Do Slightly Opened Car Windows Make That Awful Sound When I 'm driving down the road , I can roll down a back window slightly and i get a god awful sound . It 's rythmic and kills your ears . What causes this ?","It 's called [ Buffeting ] ( URL_0 ) and it 's caused by the air slamming * into * the car with no where to go . Crack one of the front windows , even just a tiny bit , to negate it .","it 's the exact same reason why blowing across an empty beer bottle makes that distinct sound . Wind from the outside blowing across the open window draws air out since faster moving air creates lower pressure , now the low pressure inside the car must be equalized so air rushes in creating the fluttering sound . Solution : open two windows"
"Why do stars twinkle if the light we 're seeing is from thousands of years ago and most things are n't big enough to block its light ? Noticed a star twinkling when I took my dog outside and could n't understand why it was."," ""Stars twinkle due to atmospheric interference . If you 've ever seen \"" heat waves \"" shimmering above a road , you 're seeing a similar principle at work . Gasses can cause interference with light passing through them . In the case of a twinkling star , you 're seeing the atmosphere scattering the light as it passes through .","Just like you can use your thumb to block out any skyscraper , the light from a giant star can actually be blocked by small things , such as dust particles or asteroids . Seeing how stars are far away , there 's a long line through which things can fly . However , this is n't the main source of the twinkling . Twinkling is largely caused by our atmosphere . Light bends when it moves through something . That something can be anyting : solid ( like a drinking glass ) , liquid ( like water ) , or a gas ( the air in our atmosphere ) Bending does n't make it twinkle though . If you look through a window , light is also bend , but because its always bend in the same fashion , you ca n't even notice it . Twinkling comes in when the bending is happening randomly . Like the air above your head . Patches of air are randomly cold , and warm , and moved about by the wind . This has a tiny effect on the bending of the light , and thus the star appears to twinkle"
